"species","Hydrolase_sub","GeneCount","catprop"
"Aspergillus_fumigatus","Acid anhydrides",93,15.5778894472362
"Aspergillus_fumigatus","Carbon–carbon",5,0.837520938023451
"Aspergillus_fumigatus","Carbon–nitrogen",63,10.5527638190955
"Aspergillus_fumigatus","Ester",157,26.2981574539363
"Aspergillus_fumigatus","Ether",8,1.34003350083752
"Aspergillus_fumigatus","Glycosylases",167,27.9731993299832
"Aspergillus_fumigatus","Peptide",104,17.4204355108878
"Candida_albicans","Acid anhydrides",84,22.1052631578947
"Candida_albicans","Carbon–carbon",2,0.526315789473684
"Candida_albicans","Carbon–nitrogen",39,10.2631578947368
"Candida_albicans","Ester",124,32.6315789473684
"Candida_albicans","Ether",3,0.789473684210526
"Candida_albicans","Glycosylases",43,11.3157894736842
"Candida_albicans","Peptide",85,22.3684210526316
"Candida_dubliniensis","Acid anhydrides",249,22.6569608735214
"Candida_dubliniensis","Carbon–carbon",6,0.545950864422202
"Candida_dubliniensis","Carbon–nitrogen",105,9.55414012738854
"Candida_dubliniensis","Ester",382,34.7588717015469
"Candida_dubliniensis","Ether",9,0.818926296633303
"Candida_dubliniensis","Glycosylases",113,10.2820746132848
"Candida_dubliniensis","Peptide",235,21.3830755232029
"Candida_metapsilosis","Acid anhydrides",86,21.3399503722084
"Candida_metapsilosis","Carbon–carbon",2,0.496277915632754
"Candida_metapsilosis","Carbon–nitrogen",42,10.4218362282878
"Candida_metapsilosis","Ester",131,32.5062034739454
"Candida_metapsilosis","Ether",5,1.24069478908189
"Candida_metapsilosis","Glycosylases",39,9.67741935483871
"Candida_metapsilosis","Peptide",98,24.317617866005
"Candida_orthopsilosis","Acid anhydrides",83,21.0659898477157
"Candida_orthopsilosis","Carbon–carbon",2,0.50761421319797
"Candida_orthopsilosis","Carbon–nitrogen",41,10.4060913705584
"Candida_orthopsilosis","Ester",130,32.994923857868
"Candida_orthopsilosis","Ether",3,0.761421319796954
"Candida_orthopsilosis","Glycosylases",34,8.62944162436548
"Candida_orthopsilosis","Peptide",101,25.6345177664975
"Candida_parapsilosis","Acid anhydrides",184,22.5766871165644
"Candida_parapsilosis","Carbon–carbon",4,0.49079754601227
"Candida_parapsilosis","Carbon–nitrogen",77,9.4478527607362
"Candida_parapsilosis","Ester",280,34.3558282208589
"Candida_parapsilosis","Ether",6,0.736196319018405
"Candida_parapsilosis","Glycosylases",71,8.71165644171779
"Candida_parapsilosis","Peptide",193,23.680981595092
"Candida_tropicalis","Acid anhydrides",89,22.029702970297
"Candida_tropicalis","Carbon–carbon",2,0.495049504950495
"Candida_tropicalis","Carbon–nitrogen",40,9.9009900990099
"Candida_tropicalis","Ester",135,33.4158415841584
"Candida_tropicalis","Ether",3,0.742574257425743
"Candida_tropicalis","Glycosylases",43,10.6435643564356
"Candida_tropicalis","Peptide",92,22.7722772277228
"Chrysosporium_queenslandicum","Acid anhydrides",123,20.3980099502488
"Chrysosporium_queenslandicum","Carbon–carbon",8,1.32669983416252
"Chrysosporium_queenslandicum","Carbon–nitrogen",83,13.7645107794362
"Chrysosporium_queenslandicum","Ester",173,28.6898839137645
"Chrysosporium_queenslandicum","Ether",5,0.829187396351575
"Chrysosporium_queenslandicum","Glycosylases",69,11.4427860696517
"Chrysosporium_queenslandicum","Peptide",142,23.5489220563847
"Cryptococcus_neoformans","Acid anhydrides",87,24.6458923512748
"Cryptococcus_neoformans","Carbon–carbon",2,0.56657223796034
"Cryptococcus_neoformans","Carbon–nitrogen",40,11.3314447592068
"Cryptococcus_neoformans","Ester",97,27.4787535410765
"Cryptococcus_neoformans","Ether",2,0.56657223796034
"Cryptococcus_neoformans","Glycosylases",42,11.8980169971671
"Cryptococcus_neoformans","Peptide",83,23.5127478753541
"Epidermophyton_floccosum","Acid anhydrides",371,26.8840579710145
"Epidermophyton_floccosum","Carbon–carbon",9,0.652173913043478
"Epidermophyton_floccosum","Carbon–nitrogen",136,9.85507246376812
