"species","Category","GeneCount"
"Aspergillus_fumigatus","Amino acid metabolism",296
"Aspergillus_fumigatus","Biosynthesis of other secondary metabolites",120
"Aspergillus_fumigatus","Carbohydrate metabolism",396
"Aspergillus_fumigatus","Energy metabolism",112
"Aspergillus_fumigatus","Glycan biosynthesis and metabolism",123
"Aspergillus_fumigatus","Lipid metabolism",199
"Aspergillus_fumigatus","Metabolism of cofactors and vitamins",187
"Aspergillus_fumigatus","Metabolism of other amino acids",108
"Aspergillus_fumigatus","Metabolism of terpenoids and polyketides",43
"Aspergillus_fumigatus","Nucleotide metabolism",136
"Aspergillus_fumigatus","Other",794
"Aspergillus_fumigatus","Xenobiotics biodegradation and metabolism",132
"Candida_albicans","Amino acid metabolism",174
"Candida_albicans","Biosynthesis of other secondary metabolites",55
"Candida_albicans","Carbohydrate metabolism",238
"Candida_albicans","Energy metabolism",100
"Candida_albicans","Glycan biosynthesis and metabolism",68
"Candida_albicans","Lipid metabolism",135
"Candida_albicans","Metabolism of cofactors and vitamins",149
"Candida_albicans","Metabolism of other amino acids",74
"Candida_albicans","Metabolism of terpenoids and polyketides",31
"Candida_albicans","Nucleotide metabolism",128
"Candida_albicans","Other",629
"Candida_albicans","Xenobiotics biodegradation and metabolism",60
"Candida_dubliniensis","Amino acid metabolism",455
"Candida_dubliniensis","Biosynthesis of other secondary metabolites",140
"Candida_dubliniensis","Carbohydrate metabolism",584
"Candida_dubliniensis","Energy metabolism",217
"Candida_dubliniensis","Glycan biosynthesis and metabolism",171
"Candida_dubliniensis","Lipid metabolism",339
"Candida_dubliniensis","Metabolism of cofactors and vitamins",371
"Candida_dubliniensis","Metabolism of other amino acids",203
"Candida_dubliniensis","Metabolism of terpenoids and polyketides",79
"Candida_dubliniensis","Nucleotide metabolism",339
"Candida_dubliniensis","Other",1465
"Candida_dubliniensis","Xenobiotics biodegradation and metabolism",152
"Candida_metapsilosis","Amino acid metabolism",192
"Candida_metapsilosis","Biosynthesis of other secondary metabolites",53
"Candida_metapsilosis","Carbohydrate metabolism",239
"Candida_metapsilosis","Energy metabolism",95
"Candida_metapsilosis","Glycan biosynthesis and metabolism",72
"Candida_metapsilosis","Lipid metabolism",167
"Candida_metapsilosis","Metabolism of cofactors and vitamins",156
"Candida_metapsilosis","Metabolism of other amino acids",79
"Candida_metapsilosis","Metabolism of terpenoids and polyketides",32
"Candida_metapsilosis","Nucleotide metabolism",134
"Candida_metapsilosis","Other",680
"Candida_metapsilosis","Xenobiotics biodegradation and metabolism",78
"Candida_orthopsilosis","Amino acid metabolism",180
"Candida_orthopsilosis","Biosynthesis of other secondary metabolites",55
"Candida_orthopsilosis","Carbohydrate metabolism",231
"Candida_orthopsilosis","Energy metabolism",101
"Candida_orthopsilosis","Glycan biosynthesis and metabolism",65
"Candida_orthopsilosis","Lipid metabolism",162
"Candida_orthopsilosis","Metabolism of cofactors and vitamins",150
"Candida_orthopsilosis","Metabolism of other amino acids",77
"Candida_orthopsilosis","Metabolism of terpenoids and polyketides",32
"Candida_orthopsilosis","Nucleotide metabolism",131
